userName,score,at,content
alas daun,5,2026-05-05 08:14:18,game nya seru
mugi ariatun,1,2026-05-05 02:57:23,lain kali Jangan Suka batasin kesenangan orang
Anggreani Ipi,5,2026-05-04 22:19:24,gamenya seru...Tapi ko smuanya pake Robux ya?
Tama Hutama,1,2026-05-04 09:21:31,saya sangat tidak suka game ini dulu seru ga kaya sekarang chat gabisa lain lain gabisa huh
Infinix Hot50i,1,2026-05-03 23:09:38,mantap untuk di hapus
Selby Stationary,1,2026-05-03 13:25:45,semenjak update malah banyak bug
Fikar gaming,5,2026-05-03 11:30:01,please lah Roblox kok aku gak bisa login Roblox sih semoga dibaca sama Roblox amin
Green Az zahro',3,2026-05-03 10:03:49,sedikit suka
Aldi Nurasyid,1,2026-05-03 07:51:41,"ini udah bukan roblox yang dulu lagi, bukan nya roblox game anak anak ya? kenapa sekarang peraturanya banyak banget? dibawah 16 tahun ga bisa ngechat, buat t shirt sendiri g bisa"
Eko Yulianto,5,2026-05-03 07:04:52,bagus game nya
Putu Suarmika,1,2026-05-03 00:51:02,robolx so boring with no chat
Bandrekk,1,2026-05-03 00:19:19,ini game apaan sih! aneh banget sepanjang aku main kameranya sering nye tak atau diem aja gak bisa gerakin kameranya aneh banget dan jaringan di roblox itu kayak apa lah! padahal jaringan FULL dan lancar main game lain tapi Roblox udah kayak main game ultra realistic tapi pake hape kentang!
vano devano,5,2026-05-02 23:47:35,Skin aku itu udah bagus gratis sumpah ya game ini Mabar tanpa server sekali gus dan meskipun aku gak punya RBX aku main di virtual langsung dapat Avatar gratis
Rafi Rafi,1,2026-05-02 09:46:26,game cuma bikin ngeleg parah
Liye Mambang,1,2026-05-02 07:22:29,Roblox jelek wifi saya lancar tapi gak bisa main Roblox Mandang wifi Roblox jelek!!!
Jelayan Galih,1,2026-05-02 05:38:43,Roblox itu game bodoh game sampah jangan di download
Adiba Aja,1,2026-05-02 03:49:45,BRING BACK CHATTTT I DON'T LOVE ROBLOX 😡😡😡🤬😠
Riordan Alhazen Prabowo,2,2026-05-02 03:28:46,gak bisa chat mendadak
Herwin Chandra,1,2026-05-02 01:39:28,we can't chat we have bad updates like makeup L Roblox
Pengguna Google,3,2026-05-02 01:20:37,akù seri mani roblox tapi seti di bulin anak_anak taku sama rablox ?😭😭😭😭😭😭😭 di bulin roblox ke na pa roblox ya absu aga roblox ini
Abhi Nizam,1,2026-05-01 22:23:11,lama-kelamaan roblox mendukung g@y
Suwardi Suwardi,5,2026-05-01 21:04:11,sangat bagus dan gak update trs aku karna aku mau ngasih bintang 10 bintang disini cm 5y udah lima aja
Aris Tanto,1,2026-05-01 21:03:50,NO CHAT=NO ROBLOX!!
Watik,5,2026-05-01 20:55:27,"game nya sangat bagus, bisa mabar, dan dapat banyak teman"
Ramadhan,1,2026-05-01 20:55:22,game Roblox ini ngeselin masa udah verivikasi chat kok malah hilangain lagi
Andi Shailendra,2,2026-05-01 20:38:43,"nih game gak ada offline ya game lain mulai maju kaya blood strike,ml,fr, Minecraft,dll nih Roblox mulai dead game game cuma itu,itu doang"
Al Ghoffar,2,2026-05-01 20:33:08,pass aku mau login knp error?
Iyan,5,2026-05-01 20:28:32,roblox kesukaan aku
Elang Sunan azizi,5,2026-05-01 20:23:27,pokoknya game ini bagus deh gw suka main dod (die of death) tolong sering update ya roblox🤑. dan untuk alif alif ngecrash itu karena devise kamunya kentang jadi gak kuat jangan nyalahin apk nya🥀🥀
Naufal Adilah Fakih,5,2026-05-01 20:10:20,bagus gamenya cuma banyak player yang mencuri dan berkata kasar
Bardi Bardi,5,2026-05-01 19:35:24,bagus buat hiburan anak²
emir ayubi,1,2026-05-01 19:22:26,L Roblox give me back my chat I'm innocent I don't like this game anymore or/atau L Roblox kembalikan chat aku tidak bersalah aku tidak suka Game ini
Eiger eiger,5,2026-05-01 18:57:22,aku kasih bintang 5
Ali Hanun,5,2026-05-01 18:51:24,menurutku game nya bagus dan bisa main pvp terus bisa berkomunikasi.sekian dari saya
Mpy Sad,3,2026-05-01 18:44:25,setelah update malah sering mental wkwk
